"A.3.4","0","1","2","3","4","5","6","7"
"0","0981","0990","SP","0","09AC","09BE","09CE","p"
"1","0982","","!","1","09AD","09BF","a","q"
"2","0983","","099F","2","09AE","09C0","b","r"
"3","0985","0993","09A0","3","09AF","09C1","c","s"
"4","0986","0994","09A1","4","09B0","09C2","d","t"
"5","0987","0995","09A2","5","","09C3","e","u"
"6","0988","0996","09A3","6","09B2","09C4","f","v"
"7","0989","0997","09A4","7","","","g","w"
"8","098A","0998",")","8","","","h","x"
"9","098B","0999","(","9","","09C7","i","y"
"a","LF","099A","09A5",":","09B6","09C8","j","z"
"b","098C","SP","09A6",";","09B7","","k","09D7"
"c","","099B","'","","09B8","","l","09DC"
"d","CR","099C","09A7","09AA","09B9","09CB","m","09DD"
"e","","099D",".","09AB","09BC","09CC","n","09F0"
"f","098F","099E","09A8","?","09BD","09CD","o","09F1"
