"A.3.5","0","1","2","3","4","5","6","7"
"0","0A81","0A90","SP","0","0AAC","0ABE","0AD0","p"
"1","0A82","0A91","!","1","0AAD","0ABF","a","q"
"2","0A83","","0A9F","2","0AAE","0AC0","b","r"
"3","0A85","0A93","0AA0","3","0AAF","0AC1","c","s"
"4","0A86","0A94","0AA1","4","0AB0","0AC2","d","t"
"5","0A87","0A95","0AA2","5","","0AC3","e","u"
"6","0A88","0A96","0AA3","6","0AB2","0AC4","f","v"
"7","0A89","0A97","0AA4","7","0AB3","0AC5","g","w"
"8","0A8A","0A98",")","8","","","h","x"
"9","0A8B","0A99","(","9","0AB5","0AC7","i","y"
"a","LF","0A9A","0AA5",":","0AB6","0AC8","j","z"
"b","0A8C","SP","0AA6",";","0AB7","0AC9","k","0AE0"
"c","0A8D","0A9B","'","","0AB8","","l","0AE1"
"d","CR","0A9C","0AA7","0AAA","0AB9","0ACB","m","0AE2"
"e","","0A9D",".","0AAB","0ABC","0ACC","n","0AE3"
"f","0A8F","0A9E","0AA8","?","0ABD","0ACD","o","0AF1"
