"A.3.6","0","1","2","3","4","5","6","7"
"0","0901","0910","SP","0","092C","093E","0950","p"
"1","0902","0911","!","1","092D","093F","a","q"
"2","0903","0912","091F","2","092E","0940","b","r"
"3","0905","0913","0920","3","092F","0941","c","s"
"4","0906","0914","0921","4","0930","0942","d","t"
"5","0907","0915","0922","5","0931","0943","e","u"
"6","0908","0916","0923","6","0932","0944","f","v"
"7","0909","0917","0924","7","0933","0945","g","w"
"8","090A","0918",")","8","0934","0946","h","x"
"9","090B","0919","(","9","0935","0947","i","y"
"a","LF","091A","0925",":","0936","0948","j","z"
"b","090C","SP","0926",";","0937","0949","k","0972"
"c","090D","091B","'","0929","0938","094A","l","097B"
"d","CR","091C","0927","092A","0939","094B","m","097C"
"e","090E","091D",".","092B","093C","094C","n","097E"
"f","090F","091E","0928","?","093D","094D","o","097F"
