"A.2.6","0","1","2","3","4","5","6","7"
"0","@","<","096A","095B","|","P","",""
"1","00A3","=","096B","095C","A","Q","",""
"2","$",">","096C","095D","B","R","",""
"3","00A5","00A1","096D","095E","C","S","",""
"4","00BF","^","096E","095F","D","T","",""
"5","QM","00A1","096F","0960","E","U","20AC",""
"6","00A4","_","0951","0961","F","V","",""
"7","%","#","0952","0962","G","W","",""
"8","&","*","{","0963","H","X","",""
"9","'","0964","}","0970","I","Y","",""
"a","000C","0965","0953","0971","J","Z","",""
"b","*","SP","0954","","K","","",""
"c","+","0966","0958","[","L","","",""
"d","","0967","0959","~","M","","",""
"e","-","0968","095A","]","N","","",""
"f","/","0969","\","","O","","",""
