"A.2.7","0","1","2","3","4","5","6","7"
"0","@","<","0CEA","","|","P","",""
"1","00A3","=","0CEB","","A","Q","",""
"2","$",">","0CEC","","B","R","",""
"3","00A5","00A1","0CED","","C","S","",""
"4","00BF","^","0CEE","","D","T","",""
"5","QM","00A1","0CEF","","E","U","20AC",""
"6","00A4","_","0CDE","","F","V","",""
"7","%","#","0CF1","","G","W","",""
"8","&","*","{","","H","X","",""
"9","'","0964","}","","I","Y","",""
"a","000C","0965","0CF2","","J","Z","",""
"b","*","SP","","","K","","",""
"c","+","0CE6","","[","L","","",""
"d","","0CE7","","~","M","","",""
"e","-","0CE8","","]","N","","",""
"f","/","0CE9","\","","O","","",""
