"A.2.2","0","1","2","3","4","5","6","7"
"0","","","","","|","","",""
"1","","","","","00C1","","00E1",""
"2","","","","","","","",""
"3","","","","","","","",""
"4","","^","","","","","",""
"5","","","","","","00DA","20AC","00FA"
"6","","","","","","","",""
"7","","","","","","","",""
"8","","","{","","","","",""
"9","00E7","","}","","00CD","","00ED",""
"a","000C","","","","","","",""
"b","","SP","","","","","",""
"c","","","","[","","","",""
"d","","","","~","","","",""
"e","","","","]","","","",""
"f","","","\","","00D3","","00F3",""
