"A.2.12","0","1","2","3","4","5","6","7"
"0","@","<","0C6A","0C7D","|","P",,
"1","00A3","=","0C6B","0C7E","A","Q",,
"2","$",">","0C6C","0C7F","B","R",,
"3","00A5","00A1","0C6D",,"C","S",,
"4","00BF","^","0C6E",,"D","T",,
"5","QM","00A1","0C6F",,"E","U",,
"6","00A4","_","0C58",,"F","V",,
"7","%","#","0C59",,"G","W",,
"8","&","*","{",,"H","X",,
"9","'",,"}",,"I","Y",,
"a","000C",,"0C78",,"J","Z",,
"b","*","SP","0C79",,"K",,,
"c","+","0C66","0C7A","[","L",,,
"d",,"0C67","0C7B","~","M",,,
"e","-","0C68","0C7C","]","N",,,
"f","/","0C69","\",,"O",,,
