"A.3.1","0","1","2","3","4","5","6","7"
"0","@","0394","SP","0","0130","P","00E7","p"
"1","00A3","_","!","1","A","Q","a","q"
"2","$","03A6","QM","2","B","R","b","r"
"3","00A5","0393","#","3","C","S","c","s"
"4","20AC","039B","00A4","4","D","T","d","t"
"5","00E9","03A9","%","5","E","U","e","u"
"6","00F9","03A0","&","6","F","V","f","v"
"7","0131","03A8","'","7","G","W","g","w"
"8","00F2","03A3","(","8","H","X","h","x"
"9","00C7","0398",")","9","I","Y","i","y"
"a","LF","039E","*",":","J","Z","j","z"
"b","011E","SP","+",";","K","00C4","k","00E4"
"c","011F","015E",",","<","L","00D6","l","00F6"
"d","CR","015F","-","=","M","00D1","m","00F1"
"e","00C5","00DF",".",">","N","00DC","n","00FC"
"f","00E5","00C9","/","?","O","00A7","o","00E0"
