"A.2.1","0","1","2","3","4","5","6","7"
"0","","","","","|","","",""
"1","","","","","","","",""
"2","","","","","","","",""
"3","","","","","","015E","00E7","015F"
"4","","^","","","","","",""
"5","","","","","","","20AC",""
"6","","","","","","","",""
"7","","","","","011E","","011F",""
"8","","","{","","","","",""
"9","","","}","","0130","","0131",""
"a","000C","","","","","","",""
"b","","SP","","","","","",""
"c","","","","[","","","",""
"d","","","","~","","","",""
"e","","","","]","","","",""
"f","","","\","","","","",""
