"A.3.13","0","1","2","3","4","5","6","7"
"0","0627","062B","SP","0","0635","06BA","0654","p"
"1","0622","062C","!","1","0636","06BB","a","q"
"2","0628","0681","068F","2","0637","06BC","b","r"
"3","067B","0684","068D","3","0638","0648","c","s"
"4","0680","0683","0630","4","0639","06C4","d","t"
"5","067E","0685","0631","5","0641","06D5","e","u"
"6","06A6","0686","0691","6","0642","06C1","f","v"
"7","062A","0687","0693","7","06A9","06BE","g","w"
"8","06C2","062D",")","8","06AA","0621","h","x"
"9","067F","062E","(","9","06AB","06CC","i","y"
"a","LF","062F","0699",":","06AF","06D0","j","z"
"b","0679","SP","0632",";","06B3","06D2","k","0655"
"c","067D","068C","'","069A","06B1","064D","l","0651"
"d","CR","0688","0696","0633","0644","0650","m","0653"
"e","067A","0689",".","0634","0645","064F","n","0656"
"f","067C","068A","0698","?","0646","0657","o","0670"
